PLAYER_NAME,team,GP,G_PERCENT,MIN,MPG,num_times_stolen_from_rookie,num_times_fouled_by_rookie,num_times_blocked_rookie,positive_events_against_rookies_total,num_times_stolen_by_rookie,num_times_fouled_rookie,num_times_blocked_by_rookie,negative_events_against_rookies_total,num_times_stolen_from_rookie_per_36,num_times_fouled_by_rookie_per_36,num_times_blocked_rookie_per_36,positive_events_against_rookies_total_per_36,num_times_stolen_by_rookie_per_36,num_times_fouled_rookie_per_36,num_times_blocked_by_rookie_per_36,negative_events_against_rookies_total_per_36,net_events_against_rookies_total_per_36
LeBron James,LAL,36,0.6666666666666666,1199.91666666667,33.33101851851861,4,8,2,14,9,0,2,11,0.12000833391207691,0.24001666782415382,0.060004166956038454,0.42002916869226914,0.270018751302173,0,0.060004166956038454,0.33002291825821145,0.09000625043405769
Chris Paul,TOR,16,0.2909090909090909,227.535,14.2209375,3,0,0,3,2,0,0,2,0.4746522513019975,0,0,0.4746522513019975,0.31643483420133167,0,0,0.31643483420133167,0.15821741710066584
Kevin Durant,HOU,50,0.9433962264150944,1834.81,36.6962,5,17,6,28,9,3,2,14,0.09810280083496385,0.33354952283887707,0.1177233610019566,0.5493756846757976,0.17658504150293491,0.0588616805009783,0.03924112033398554,0.2746878423378988,0.2746878423378988
Al Horford,GSW,34,0.6181818181818182,701.86,20.64294117647059,4,1,3,8,2,0,0,2,0.2051691220471319,0.05129228051178297,0.15387684153534892,0.4103382440942638,0.10258456102356595,0,0,0.10258456102356595,0.30775368307069784
Mike Conley,MIN,44,0.7857142857142857,812.156666666667,18.458106060606067,1,2,1,4,0,2,0,2,0.04432642306287373,0.08865284612574746,0.04432642306287373,0.17730569225149492,0,0.08865284612574746,0,0.08865284612574746,0.08865284612574746
Jeff Green,HOU,18,0.33962264150943394,81.7333333333333,4.540740740740739,0,1,1,2,1,2,0,3,0,0.44045676998368694,0.44045676998368694,0.8809135399673739,0.44045676998368694,0.8809135399673739,0,1.3213703099510608,-0.4404567699836869
Russell Westbrook,SAC,52,0.9285714285714286,1521.47,29.259038461538463,2,2,0,4,1,0,0,1,0.04732265506385272,0.04732265506385272,0,0.09464531012770544,0.02366132753192636,0,0,0.02366132753192636,0.07098398259577908
Kevin Love,UTA,29,0.5178571428571429,500.25,17.25,1,0,0,1,2,1,0,3,0.07196401799100449,0,0,0.07196401799100449,0.14392803598200898,0.07196401799100449,0,0.21589205397301348,-0.14392803598200898
Eric Gordon,PHI,6,0.1111111111111111,73.75,12.291666666666666,2,0,1,3,0,0,0,0,0.9762711864406779,0,0.48813559322033895,1.464406779661017,0,0,0,0,1.464406779661017
Brook Lopez,LAC,47,0.8703703703703703,873.846666666667,18.592482269503552,1,2,7,10,3,6,3,12,0.041197158921855076,0.08239431784371015,0.28838011245298556,0.41197158921855076,0.12359147676556523,0.24718295353113046,0.12359147676556523,0.4943659070622609,-0.08239431784371015
Nicolas Batum,LAC,51,0.9444444444444444,991.613333333333,19.44339869281045,1,1,2,4,1,4,0,5,0.036304473517903495,0.036304473517903495,0.07260894703580699,0.14521789407161398,0.036304473517903495,0.14521789407161398,0,0.18152236758951748,-0.0363044735179035
James Harden,CLE,47,0.8545454545454545,1655.95333333333,35.23304964539,6,31,3,40,8,3,2,13,0.130438458410664,0.673932035121764,0.065219229205332,0.8695897227377601,0.17391794454755202,0.065219229205332,0.043479486136888006,0.282616659889772,0.5869730628479881
Stephen Curry,GSW,39,0.7090909090909091,1221.67833333333,31.325085470085387,5,7,1,13,7,2,2,11,0.14733829281302946,0.20627360993824123,0.029467658562605893,0.3830795613138766,0.20627360993824123,0.058935317125211786,0.058935317125211786,0.3241442441886648,0.05893531712521183
DeMar DeRozan,SAC,56,1,1813.00666666667,32.37511904761911,1,15,4,20,5,2,0,7,0.019856518269835338,0.29784777404753005,0.07942607307934135,0.39713036539670676,0.09928259134917669,0.039713036539670676,0,0.13899562788884737,0.2581347375078594
Jrue Holiday,POR,27,0.48214285714285715,763.08,28.262222222222224,1,6,0,7,6,1,2,9,0.04717722912407611,0.2830633747444567,0,0.33024060386853277,0.2830633747444567,0.04717722912407611,0.09435445824815222,0.424595062116685,-0.09435445824815225
Garrett Temple,TOR,13,0.23636363636363636,35.7366666666667,2.7489743589743614,1,1,1,3,3,0,0,3,1.0073687156048867,1.0073687156048867,1.0073687156048867,3.02210614681466,3.02210614681466,0,0,3.02210614681466,0
Paul George,PHI,27,0.5,823.871666666667,30.51376543209878,2,4,1,7,0,2,2,4,0.08739225162494965,0.1747845032498993,0.043696125812474826,0.3058728806873237,0,0.08739225162494965,0.08739225162494965,0.1747845032498993,0.1310883774374244
