name,personId,postseason_games,reg_season_games,tour_date_postseason,tour_date_reg_season,tot_games,tot_tour_date_games,tot_tour_date_percent,postseason_tour_date_percent,reg_season_tour_date_percent
A.J. Lawson,1630639,0,26,0,4,26,4,0.15384615384615385,NA,0.15384615384615385
AJ Green,1631260,5,73,1,3,78,4,0.05128205128205128,0.2,0.0410958904109589
AJ Johnson,1642358,0,29,0,6,29,6,0.20689655172413793,NA,0.20689655172413793
Aaron Gordon,203932,14,51,3,3,65,6,0.09230769230769231,0.21428571428571427,0.058823529411764705
Aaron Holiday,1628988,3,61,0,0,64,0,0,0,0
Aaron Nesmith,1630174,23,45,1,1,68,2,0.029411764705882353,0.043478260869565216,0.022222222222222223
Aaron Wiggins,1630598,22,77,2,4,99,6,0.06060606060606061,0.09090909090909091,0.05194805194805195
Adam Flagler,1641745,0,37,0,1,37,1,0.02702702702702703,NA,0.02702702702702703
Adama Sanogo,1641766,0,4,0,0,4,0,0,NA,0
Adem Bona,1641737,0,58,0,0,58,0,0,NA,0
Ajay Mitchell,1642349,12,37,0,1,49,1,0.02040816326530612,0,0.02702702702702703
Al Horford,201143,11,60,2,8,71,10,0.14084507042253522,0.18181818181818182,0.13333333333333333
Alec Burks,202692,3,49,0,1,52,1,0.019230769230769232,0,0.02040816326530612
Alex Caruso,1627936,23,55,2,0,78,2,0.02564102564102564,0.08695652173913043,0
Alex Ducas,1642505,0,21,0,0,21,0,0,NA,0
Alex Len,203458,2,45,0,0,47,0,0,0,0
Alex Reese,1642024,0,15,0,0,15,0,0,NA,0
Alex Sarr,1642259,0,66,0,27,66,27,0.4090909090909091,NA,0.4090909090909091
Alondes Williams,1631214,0,1,0,0,1,0,0,NA,0
Alperen Sengun,1630578,7,75,4,14,82,18,0.21951219512195122,0.5714285714285714,0.18666666666666668
Amen Thompson,1641708,7,68,2,5,75,7,0.09333333333333334,0.2857142857142857,0.07352941176470588
Amir Coffey,1629599,0,71,0,2,71,2,0.028169014084507043,NA,0.028169014084507043
Andre Drummond,203083,0,40,0,2,40,2,0.05,NA,0.05
Andre Jackson Jr.,1641748,2,67,0,0,69,0,0,0,0
Andrew Nembhard,1629614,23,65,4,6,88,10,0.11363636363636363,0.17391304347826086,0.09230769230769231
Andrew Wiggins,203952,6,60,3,20,66,23,0.3484848484848485,0.5,0.3333333333333333
Anfernee Simons,1629014,0,70,0,24,70,24,0.34285714285714286,NA,0.34285714285714286
