name,personId,postseason_games,reg_season_games,tour_date_postseason,tour_date_reg_season,tot_games,tot_tour_date_games,tot_tour_date_percent,postseason_tour_date_percent,reg_season_tour_date_percent
A.C. Green,920,153,1278,8,88,1431,96,0.06708595387840671,0.05228758169934641,0.06885758998435054
A.J. Bramlett,1920,0,8,0,0,8,0,0,NA,0
A.J. English,76672,0,151,0,26,151,26,0.17218543046357615,NA,0.17218543046357615
A.J. Guyton,2062,0,80,0,7,80,7,0.0875,NA,0.0875
A.J. Lawson,1630639,10,83,0,6,93,6,0.06451612903225806,0,0.07228915662650602
A.J. Wynder,78627,0,6,0,0,6,0,0,NA,0
AJ Green,1631260,11,164,1,3,175,4,0.022857142857142857,0.09090909090909091,0.018292682926829267
AJ Griffin,1631100,0,92,0,9,92,9,0.09782608695652174,NA,0.09782608695652174
AJ Hammons,1627773,0,22,0,0,22,0,0,NA,0
AJ Johnson,1642358,0,29,0,6,29,6,0.20689655172413793,NA,0.20689655172413793
AJ Price,201985,9,261,0,23,270,23,0.08518518518518518,0,0.08812260536398467
Aaron Brooks,201166,40,645,6,104,685,110,0.16058394160583941,0.15,0.16124031007751938
Aaron Gordon,203932,66,720,10,122,786,132,0.16793893129770993,0.15151515151515152,0.16944444444444445
Aaron Gray,201189,8,318,0,1,326,1,0.003067484662576687,0,0.0031446540880503146
Aaron Harrison,1626151,2,35,0,1,37,1,0.02702702702702703,0,0.02857142857142857
Aaron Henry,1630565,0,6,0,0,6,0,0,NA,0
Aaron Holiday,1628988,19,447,0,29,466,29,0.06223175965665236,0,0.06487695749440715
Aaron Jackson,1628935,7,1,0,0,8,0,0,0,0
Aaron James,77115,0,356,0,38,356,38,0.10674157303370786,NA,0.10674157303370786
Aaron McKie,243,75,793,10,67,868,77,0.08870967741935484,0.13333333333333333,0.08448928121059268
Aaron Miles,101223,0,19,0,0,19,0,0,NA,0
Aaron Nesmith,1630174,61,289,4,20,350,24,0.06857142857142857,0.06557377049180328,0.06920415224913495
Aaron Swinson,78286,0,9,0,0,9,0,0,NA,0
Aaron Wiggins,1630598,34,275,2,12,309,14,0.045307443365695796,0.058823529411764705,0.04363636363636364
Aaron Williams,1425,53,715,0,14,768,14,0.018229166666666668,0,0.019580419580419582
Abdel Nader,1627846,22,202,0,3,224,3,0.013392857142857142,0,0.01485148514851485
Abdul Jeelani,77126,0,143,0,9,143,9,0.06293706293706294,NA,0.06293706293706294
Acie Earl,768,1,193,0,10,194,10,0.05154639175257732,0,0.05181347150259067
Acie Law,201151,13,188,0,4,201,4,0.01990049751243781,0,0.02127659574468085
Adam Flagler,1641745,0,39,0,1,39,1,0.02564102564102564,NA,0.02564102564102564
Adam Harrington,2492,0,19,0,1,19,1,0.05263157894736842,NA,0.05263157894736842
Adam Keefe,228,65,617,0,5,682,5,0.007331378299120235,0,0.008103727714748784
Adam Mokoka,1629690,0,25,0,0,25,0,0,NA,0
Adam Morrison,200747,2,161,0,29,163,29,0.17791411042944785,0,0.18012422360248448
Adama Sanogo,1641766,0,13,0,0,13,0,0,NA,0
Ade Murkey,1630278,0,1,0,0,1,0,0,NA,0
Adem Bona,1641737,0,58,0,0,58,0,0,NA,0
Admiral Schofield,1629678,0,131,0,2,131,2,0.015267175572519083,NA,0.015267175572519083
Adolph Hoefer,77035,0,11,0,0,11,0,0,NA,0
Adonal Foyle,1502,8,733,0,16,741,16,0.021592442645074223,0,0.021828103683492497
Adonis Jordan,1817,0,10,0,0,10,0,0,NA,0
Adonis Thomas,203519,0,6,0,0,6,0,0,NA,0
Adreian Payne,203940,0,107,0,1,107,1,0.009345794392523364,NA,0.009345794392523364
Adrian Branch,76237,12,130,0,5,142,5,0.035211267605633804,0,0.038461538461538464
Adrian Caldwell,154,2,197,0,0,199,0,0,0,0
Adrian Dantley,76504,73,955,10,125,1028,135,0.13132295719844359,0.136986301369863,0.13089005235602094
Adrian Griffin,1559,48,477,0,13,525,13,0.024761904761904763,0,0.027253668763102725
Adrian Smith,78178,36,720,4,140,756,144,0.19047619047619047,0.1111111111111111,0.19444444444444445
Ahmad Caver,1629958,0,1,0,0,1,0,0,NA,0
Ajay Mitchell,1642349,12,37,0,1,49,1,0.02040816326530612,0,0.02702702702702703
Al Bianchi,76160,56,687,14,90,743,104,0.13997308209959622,0.25,0.13100436681222707
Al Brightman,76254,0,12,0,0,12,0,0,NA,0
Al Butler,76319,0,234,0,18,234,18,0.07692307692307693,NA,0.07692307692307693
Al Carlson,76343,0,28,0,0,28,0,0,NA,0
Al Cervi,76373,27,129,1,0,156,1,0.00641025641025641,0.037037037037037035,0
Al Eberhard,76634,11,220,0,15,231,15,0.06493506493506493,0,0.06818181818181818
Al Ferrari,76708,33,371,2,32,404,34,0.08415841584158416,0.06060606060606061,0.0862533692722372
Al Fleming,76722,5,20,0,0,25,0,0,0,0
Al Guokas,76907,2,6,0,0,8,0,0,0,0
Al Hairston,76915,0,43,0,1,43,1,0.023255813953488372,NA,0.023255813953488372
Al Harrington,1733,55,981,6,230,1036,236,0.2277992277992278,0.10909090909090909,0.2344546381243629
Al Henry,77000,0,49,0,1,49,1,0.02040816326530612,NA,0.02040816326530612
Al Horford,201143,197,1138,25,166,1335,191,0.14307116104868914,0.12690355329949238,0.14586994727592267
Al Jackson,77099,0,2,0,0,2,0,0,NA,0
Al Jefferson,2744,21,915,3,141,936,144,0.15384615384615385,0.14285714285714285,0.1540983606557377
Al Lucas,77417,0,2,0,0,2,0,0,NA,0
Al Masino,77482,13,73,0,1,86,1,0.011627906976744186,0,0.0136986301369863
Al McGuire,77536,23,144,2,2,167,4,0.023952095808383235,0.08695652173913043,0.013888888888888888
Al Roges,78010,0,4,0,0,4,0,0,NA,0
Al Skinner,78167,5,203,0,32,208,32,0.15384615384615385,0,0.15763546798029557
Al Thornton,201154,0,296,0,53,296,53,0.17905405405405406,NA,0.17905405405405406
Al Tucker,78372,4,257,0,42,261,42,0.16091954022988506,0,0.16342412451361868
Al Wood,78610,5,417,1,61,422,62,0.14691943127962084,0.2,0.14628297362110312
Al-Farouq Aminu,202329,40,711,3,59,751,62,0.08255659121171771,0.075,0.0829817158931083
Alaa Abdelnaby,76001,17,256,1,6,273,7,0.02564102564102564,0.058823529411764705,0.0234375
Alan Anderson,101187,18,330,2,31,348,33,0.09482758620689655,0.1111111111111111,0.09393939393939393
Alan Hardy,76947,0,60,0,0,60,0,0,NA,0
Alan Henderson,673,36,652,0,55,688,55,0.07994186046511628,0,0.0843558282208589
Alan Ogg,1628,3,80,0,0,83,0,0,0,0
Alan Williams,1626210,0,67,0,3,67,3,0.04477611940298507,NA,0.04477611940298507
Alando Tucker,201169,0,51,0,4,51,4,0.0784313725490196,NA,0.0784313725490196
Albert King,77263,21,534,6,96,555,102,0.1837837837837838,0.2857142857142857,0.1797752808988764
Alec Burks,202692,31,791,6,142,822,148,0.18004866180048662,0.1935483870967742,0.179519595448799
Alec Kessler,77251,2,210,0,10,212,10,0.04716981132075472,0,0.047619047619047616
Alec Peters,1628409,0,20,0,0,20,0,0,NA,0
Aleem Ford,1630758,0,5,0,0,5,0,0,NA,0
Aleksandar Djordjevic,1059,0,8,0,0,8,0,0,NA,0
Aleksandar Radojevic,1893,0,15,0,0,15,0,0,NA,0
Aleksej Pokusevski,1630197,0,168,0,30,168,30,0.17857142857142858,NA,0.17857142857142858
Alen Smailagic,1629346,0,29,0,0,29,0,0,NA,0
Alex Abrines,203518,11,174,1,9,185,10,0.05405405405405406,0.09090909090909091,0.05172413793103448
Alex Acker,101165,0,30,0,0,30,0,0,NA,0
Alex Blackwell,76180,0,27,0,0,27,0,0,NA,0
Alex Bradley,76228,0,39,0,0,39,0,0,NA,0
